Stock,Type,Outcome,Date of Trade,Expiry ,Days,Premium ($),Premium,Stock Price,Strike,Contracts,Capital,Return on Stock,Annualized Return,% Return,Income/day,Notes,Options ID
AMD,Call,Expired,September 18 2025,September 19 2025,1,$191,1.91,$157.30,$157.50,1,"$15,730.00",,443.20%,1.21%,$191,Only Good call option I could find for end of this week that was not on a stock that I already own or PLTR which I felt was too volatile,11
AAL,Call,Expired,September 19 2025,September 25 2025,6,$92,0.23,$12.42,$12.50,4,"$4,968.00",,112.65%,1.85%,$15,"Wanted to try out an over-the-weekend weekly, and I want to check how much this is on Monday, as I think we get good theta decay on the weekend without much price movement. And this fit nicely, almost 2% for the week.",12
AMD,Call,Expired,September 22 2025,September 26 2025,4,$360,3.60,$160.00,$160.00,1,"$16,000.00",,205.31%,2.25%,$90,Nice preium collection on AMD I think it was very good for the week,13
HIMS,Put,Expired,September 22 2025,September 26 2025,4,$119,1.19,$55.00,$55.00,1,"$5,500.00",,197.43%,2.16%,$30,Wanted to try HIMS put as John recommended this was considering lower strike price around 50 for 1 month with around 4% returnt,14
MRNA,Call,Expired,September 22 2025,September 25 2025,3,$72,0.72,$25.50,$25.50,1,"$2,550.00",,343.53%,2.82%,$24, I had this assigned from last week so I sold a call on it and quite happy with the return,15
OXY,Call,Ongoing,September 22 2025,November 21 2025,60,$181,1.81,$47.50,$47.50,1,"$4,750.00",,23.18%,3.81%,$3,wanted to have a safe stock like OXY on the portfolio as I already had it assigned last week,16
BAC,Call,Assigned,September 22 2025,September 26 2025,4,$55,0.55,$52.04,$52.00,1,"$5,204.00",$-4.00,96.44%,1.06%,$14,Same as OXY I was already assigned BAC so sold more calls 52,17
SOFI,Put,Assigned,September 23 2025,September 26 2025,3,$55,0.55,$29.87,$29.50,1,"$2,950.00",,226.66%,1.86%,$18,SOFI had a good premium and was getting to an ATH so I sold a put to collect more premium,18
IBKR,Put,Expired,September 23 2025,September 26 2025,3,$75,0.75,$66.50,$65.00,1,"$6,500.00",,141.92%,1.15%,$25,I liked the irony of trading IBKR put when trading on IBKR,19
SOFI,Put,Assigned,September 24 2025,September 26 2025,2,$74,0.37,$28.44,$28.00,2,"$5,600.00",,241.31%,1.32%,$37,felt it was good to double down on SOFI put,20
UBER,Put,Expired,September 24 2025,September 26 2025,2,$109,1.09,$97.18,$97.00,1,"$9,700.00",,204.74%,1.12%,$55,Wanted to try a new stock ticker to branch out a bit as I need more stocks to diversify,21
F,Put,Ongoing,September 25 2025,October 3 2025,8,$42,0.14,$11.50,$11.50,3,"$3,450.00",,55.54%,1.22%,$5,Looking to deploy some capital on something relatively safe as positions have been moving quite a bit today and there was not much premium for 1 day expiry so went to next week to capture theta over the weekend even though annualized return was not 100%,22
HOOD,Put,Assigned,September 25 2025,September 26 2025,1,$62,0.62,$124.40,$122.00,1,"$12,200.00",,185.49%,0.51%,$62,Wanted to try a 0.25 delta roughly for one day so while this is quite a small return I do not expect to be assigned most of the time,23
RIVN,Put,Expired,September 25 2025,September 26 2025,1,$22,0.11,$15.92,$15.50,2,"$3,100.00",,259.03%,0.71%,$22,Small position to test EV sector with good capital efficiency and meets annualized threshold,24
AAL,Call,Ongoing,September 29 2025,October 31 2025,32,$129,0.32,$11.26,$12.50,4,"$5,000.00",,29.48%,2.58%,$4,Longer dated call to capture more premium over time,25
AMD,Put,Ongoing,September 29 2025,October 3 2025,4,$275,2.75,$160.00,$160.00,1,"$16,000.00",,156.64%,1.72%,$69,Put on AMD at the money to collect good premium,26
HIMS,Put,Ongoing,September 29 2025,October 3 2025,4,$385,1.93,$58.00,$58.00,2,"$11,600.00",,303.02%,3.32%,$96,Double position on HIMS put for higher premium income,27
HOOD,Put,Ongoing,September 29 2025,October 3 2025,4,$304,3.04,$125.00,$125.00,1,"$12,500.00",,222.12%,2.43%,$76,Put on HOOD to collect premium on high volatility stock,28
SOFI,Put,Ongoing,September 29 2025,October 3 2025,4,$200,0.67,$27.50,$27.50,3,"$8,250.00",,221.52%,2.42%,$50,Triple position on SOFI put to capitalize on volatility,29
MRNA,Call,Ongoing,September 29 2025,October 3 2025,4,$52,0.52,$24.58,$25.00,1,"$2,500.00",,189.40%,2.08%,$13,Covered call on existing MRNA position,30
UBER,Put,Ongoing,September 29 2025,October 3 2025,4,$145,1.45,$99.00,$99.00,1,"$9,900.00",,133.31%,1.46%,$36,Cash secured put on UBER,31
